date,time,SENTIMENT
06-12-2022,11:35,2.6
06-12-2022,11:40,3.333333333
06-12-2022,11:45,2.333333333
06-12-2022,11:50,3
06-12-2022,11:55,3.5
06-12-2022,12:00,3.333333333
06-12-2022,12:05,3
06-12-2022,12:10,1
06-12-2022,12:15,3.833333333
06-12-2022,12:20,2.714285714
06-12-2022,12:25,2.833333333
06-12-2022,12:30,1.8
06-12-2022,12:35,4.2
06-12-2022,12:40,2.375
06-12-2022,12:45,3.333333333
06-12-2022,12:50,2.625
06-12-2022,12:55,3
06-12-2022,13:00,4
06-12-2022,13:05,3.833333333
06-12-2022,13:10,3.75
06-12-2022,13:15,2
06-12-2022,13:20,4.25
06-12-2022,13:25,2.75
06-12-2022,13:30,2.777777778
06-12-2022,13:35,1
06-12-2022,13:40,2.2
06-12-2022,13:45,2.833333333
06-12-2022,13:50,2.5
06-12-2022,13:55,2
06-12-2022,14:00,3.111111111
06-12-2022,14:05,3
06-12-2022,14:10,2.333333333
06-12-2022,14:15,2.333333333
06-12-2022,14:20,2.75
06-12-2022,14:25,1.8
06-12-2022,14:30,3
06-12-2022,14:35,3
06-12-2022,14:40,3.25
06-12-2022,14:45,1
06-12-2022,14:50,1.571428571
06-12-2022,14:55,3.333333333
06-12-2022,15:00,5
06-12-2022,15:05,3.818181818
06-12-2022,15:10,3.4
06-12-2022,15:15,1.25
06-12-2022,15:20,4.263157895
06-12-2022,15:25,1.666666667
06-12-2022,15:30,2
06-12-2022,15:35,1
06-12-2022,15:40,2
06-12-2022,15:45,3
06-12-2022,15:50,2.5
06-12-2022,15:55,3.2
07-12-2022,09:30,3.5
07-12-2022,09:35,1
07-12-2022,09:40,1
07-12-2022,09:45,2.75
07-12-2022,09:50,2.2
07-12-2022,09:55,2.1
07-12-2022,10:00,3.636363636
07-12-2022,10:05,2.5
07-12-2022,10:10,4
07-12-2022,10:15,4
07-12-2022,10:20,2.857142857
07-12-2022,10:25,4
07-12-2022,10:30,2.4
07-12-2022,10:35,3.5
07-12-2022,10:40,3.666666667
07-12-2022,10:45,3
07-12-2022,10:50,3.666666667
07-12-2022,11:00,3.619047619
07-12-2022,11:05,3.4
07-12-2022,11:10,2.6
07-12-2022,11:15,2.5
07-12-2022,11:20,1
07-12-2022,11:25,3.4
07-12-2022,11:30,2.785714286
07-12-2022,11:35,2
07-12-2022,11:40,2.333333333
07-12-2022,11:45,2.6
07-12-2022,11:50,1
07-12-2022,11:55,4.5
07-12-2022,12:00,2.833333333
07-12-2022,12:05,2.888888889
07-12-2022,12:10,4.4
07-12-2022,12:15,1
07-12-2022,12:20,3
07-12-2022,12:25,3.666666667
07-12-2022,12:30,2.333333333
07-12-2022,12:35,2.833333333
07-12-2022,12:40,3.166666667
07-12-2022,12:45,5
07-12-2022,12:50,2.428571429
07-12-2022,12:55,4
07-12-2022,13:00,4
07-12-2022,13:05,4.5
07-12-2022,13:10,2.333333333
07-12-2022,13:15,2.727272727
07-12-2022,13:20,3.666666667
07-12-2022,13:25,2.714285714
07-12-2022,13:30,2.958333333
07-12-2022,13:35,2
07-12-2022,13:40,3.777777778
07-12-2022,13:45,2
07-12-2022,13:50,5
07-12-2022,13:55,2.25
07-12-2022,14:00,3.909090909
07-12-2022,14:05,2.666666667
07-12-2022,14:10,1
07-12-2022,14:15,2.166666667
07-12-2022,14:20,3
07-12-2022,14:25,1.833333333
07-12-2022,14:30,3.4
07-12-2022,14:35,2.714285714
07-12-2022,14:40,2.666666667
07-12-2022,14:45,2.571428571
07-12-2022,14:50,1
07-12-2022,14:55,2.142857143
07-12-2022,15:00,3.153846154
07-12-2022,15:05,3.1
07-12-2022,15:10,2.4
07-12-2022,15:15,3.75
07-12-2022,15:20,2.142857143
07-12-2022,15:25,2
07-12-2022,15:30,3.428571429
07-12-2022,15:35,2.2
07-12-2022,15:40,1.333333333
07-12-2022,15:45,1.875
07-12-2022,15:50,3
07-12-2022,15:55,3.2
08-12-2022,09:30,3.5
08-12-2022,09:35,2.428571429
08-12-2022,09:40,2.75
08-12-2022,09:45,1
08-12-2022,09:50,1.666666667
08-12-2022,09:55,2
08-12-2022,10:00,3.75
08-12-2022,10:05,3.8
08-12-2022,10:10,3
08-12-2022,10:15,3.2
08-12-2022,10:20,2.714285714
08-12-2022,10:25,2.8
08-12-2022,10:30,2.333333333
08-12-2022,10:35,4
08-12-2022,10:40,4.5
08-12-2022,10:45,3
08-12-2022,10:50,5
08-12-2022,10:55,3
08-12-2022,11:00,3.75
08-12-2022,11:05,4.5
08-12-2022,11:10,2.428571429
08-12-2022,11:15,2.375
08-12-2022,11:20,2.5
08-12-2022,11:25,2.75
08-12-2022,11:30,1.888888889
08-12-2022,11:35,2.777777778
08-12-2022,11:40,3.285714286
08-12-2022,11:45,3.714285714
08-12-2022,11:50,2.166666667
08-12-2022,11:55,1.4
08-12-2022,12:00,2.222222222
08-12-2022,12:05,3
08-12-2022,12:10,2.666666667
08-12-2022,12:15,3.4
08-12-2022,12:20,1.666666667
08-12-2022,12:25,1
08-12-2022,12:30,3.25
08-12-2022,12:35,1.666666667
08-12-2022,12:40,2.8
08-12-2022,12:45,3
08-12-2022,12:50,2.2
08-12-2022,12:55,3
08-12-2022,13:00,2.909090909
08-12-2022,13:05,3.666666667
08-12-2022,13:10,4.2
08-12-2022,13:15,2.5
08-12-2022,13:20,3.5
08-12-2022,13:25,2.714285714
08-12-2022,13:30,2.25
08-12-2022,13:35,2.954545455
08-12-2022,13:40,3
08-12-2022,13:45,4.1
08-12-2022,13:50,3
08-12-2022,13:55,2.333333333
08-12-2022,14:00,2.333333333
08-12-2022,14:05,2.571428571
08-12-2022,14:10,2.666666667
08-12-2022,14:15,2.6
08-12-2022,14:20,2.666666667
08-12-2022,14:25,3.5
08-12-2022,14:30,2.727272727
08-12-2022,14:35,1.8
08-12-2022,14:40,3
08-12-2022,14:45,1.9
08-12-2022,14:50,3.222222222
08-12-2022,14:55,4.3
08-12-2022,15:00,2.8
08-12-2022,15:05,1
08-12-2022,15:10,3.4
08-12-2022,15:15,3.75
08-12-2022,15:20,3.4
08-12-2022,15:25,1
08-12-2022,15:30,2.8
08-12-2022,15:35,3.333333333
08-12-2022,15:40,2.142857143
08-12-2022,15:45,1.8
08-12-2022,15:50,1.939393939
08-12-2022,15:55,3.4
09-12-2022,09:30,1.75
09-12-2022,09:35,3
09-12-2022,09:40,1
09-12-2022,09:45,3
09-12-2022,09:50,2.444444444
09-12-2022,09:55,1.8
09-12-2022,10:00,2.428571429
09-12-2022,10:05,1
09-12-2022,10:10,2.857142857
09-12-2022,10:15,5
09-12-2022,10:20,2
